,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2020-2021 Enrollment Data - District Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,County Name,District Code,District Name,Total Enrollment,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,Native American,%Native American,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Pre-K Halfday,Pre-K FullDay,Kindergarten Halfday,Kindergarten Fullday,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eight Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade,Ungraded,%Free Lunch,%Reduced Lunch,%English Learners,%Migrant,%Military,%Homeless
29,Ocean,2760,Long Beach Island Consolidated School District,214,180,84.1,1,0.5,26,12.1,6,2.8,0,0,0,0,1,0.5,11,14,0,26,28,29,23,26,28,29,0,0,0,0,0,0,0,8.4,1.4,1.9,0,0,0
29,Ocean,2940,Manchester Township School District,2864,1708,59.6,266,9.3,624,21.8,116.5,4.1,9,0.3,9,0.3,131.5,4.6,11,0,0,167,200,178,185,171,202,181,217,216,230.5,221.5,224,237.5,222.5,23.8,7.2,1.7,0,1.7,0.5
29,Ocean,3790,Ocean County Vocational Technical School District,1371.5,986,71.9,48,3.5,263,19.2,45.5,3.3,2,0.1,0.5,0,26.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,172,175,456.5,510,58,20.6,3.6,0.7,0,0.4,0.4
29,Ocean,3800,Ocean Gate School District,134,92,68.7,9,6.7,27,20.1,0,0,0,0,0,0,6,4.5,0,10,0,18,16,18,15,20,16,14,0,0,0,0,0,0,7,41,8.2,0,0,0,0
29,Ocean,3820,Ocean Township School District,506,411,81.2,8,1.6,61,12.1,5,1,0,0,0,0,21,4.2,0,73,0,47,57,61,70,54,59,66,0,0,0,0,0,0,19,31.8,7.5,0.8,0,0.2,1.8
29,Ocean,4105,Pinelands Regional School District,1522,1287,84.6,43.5,2.9,135,8.9,13,0.9,0,0,0,0,43.5,2.9,0,0,0,0,0,0,0,0,0,0,239,259,264,225.5,216.5,202,116,34,8.3,0.5,0.1,0.3,0.5
29,Ocean,4190,Plumsted Township School District,1090.5,930,85.3,24.5,2.2,112.5,10.3,10,0.9,0.5,0,0,0,13,1.2,12,8,0,59,73,73,83,75,82,80,103,96,76,79,79,77,35.5,12.4,3,0.9,0,0.7,0
29,Ocean,4210,Point Pleasant Borough School District,2661.5,2349.5,88.3,16.5,0.6,239,9,18,0.7,0.5,0,9,0.3,29,1.1,7,0,0,174,165,195,183,204,182,200,220,233,214.5,242.5,193,190,58.5,9.4,1.8,1.4,0,0.5,0.5
29,Ocean,4220,Point Pleasant Beach School District,734.5,613.5,83.5,7,1,91,12.4,11,1.5,0,0,2,0.3,10,1.4,18,0,0,35,35,37,28,35,45,35,43,47,93.5,89,101.5,92.5,0,11,4.8,3.7,0,0.1,0.1
29,Ocean,4710,Seaside Heights School District,223,66,29.6,14,6.3,121,54.3,1,0.4,0,0,3,1.3,18,8.1,0,20,0,30,27,28,31,28,24,27,0,0,0,0,0,0,8,64.1,4,10.8,0,0,9.9
29,Ocean,4950,Southern Regional School District,2835.5,2484,87.6,51.5,1.8,238.5,8.4,28.5,1,3,0.1,3,0.1,27,1,0,0,0,0,0,0,0,0,0,0,400,488,445,474.5,487,480,61,16.1,3.3,0.8,0,0.5,0.4
29,Ocean,5020,Stafford Township School District,2141,1770,82.7,27,1.3,280,13.1,25,1.2,2,0.1,2,0.1,35,1.6,0,48,0,268,289,276,260,278,257,309,0,0,0,0,0,0,156,18.6,5.1,2,0,1.6,0
29,Ocean,5190,Toms River Regional School District,14363.5,9527.5,66.3,720,5,2999.5,20.9,530,3.7,7,0,19.5,0.1,560,3.9,37,24,0,754,932,909,955,959,1005,1004,1098,1143,1150,1100.5,1082.5,1098.5,1112,23.6,4.7,2,0,0,1
29,Ocean,5220,Tuckerton Borough School District,309,256,82.8,3,1,40,12.9,4,1.3,1,0.3,0,0,5,1.6,0,36,0,41,39,38,30,36,37,38,0,0,0,0,0,0,14,30.1,8.1,1.6,0,3.9,0.3
31,Passaic,0420,Bloomingdale School District,548,355,64.8,14,2.6,147,26.8,8,1.5,0,0,10,1.8,14,2.6,4,1,0,62,60,46,58,62,58,54,62,65,0,0,0,0,16,18.2,2.4,3.5,0,0.2,0
31,Passaic,0900,Clifton Public School District,10411,3073,29.5,420,4,6074,58.3,670,6.4,72,0.7,8,0.1,94,0.9,0,339,0,616,703,717,743,729,736,738,804,846,731,664,701,702,642,50.8,7.5,5.4,0,0.7,0.3
31,Passaic,1920,Haledon Public School District,1005,165,16.4,132,13.1,614,61.1,78,7.8,2,0.2,1,0.1,13,1.3,0,45,0,71,106,101,87,111,108,113,118,98,0,0,0,0,47,46,3.7,4.3,0,0.3,1.1
31,Passaic,2100,Hawthorne Public School District,2224,1186,53.3,79,3.6,880,39.6,40,1.8,0,0,2,0.1,37,1.7,7,0,0,142,146,171,150,143,148,179,184,164,160,123,165,147,195,26.4,4.7,2.2,0,1.3,0.6
31,Passaic,2510,Lakeland Regional High School District,922.5,672.5,72.9,32,3.5,162,17.6,25,2.7,8,0.9,2,0.2,21,2.3,0,0,0,0,0,0,0,0,0,0,0,0,174,183,210,195,160.5,7.3,0.4,0.8,0,0.2,1
31,Passaic,2700,Little Falls Township Public School District,889,604,67.9,14,1.6,201,22.6,40,4.5,1,0.1,6,0.7,23,2.6,12,8,0,102,95,81,114,76,87,85,89,111,0,0,0,0,29,14.3,4.3,1.7,0,1.5,0
31,Passaic,3640,North Haledon School District,596,476,79.9,15,2.5,93,15.6,11,1.8,0,0,0,0,1,0.2,6,0,0,60,60,59,63,65,62,70,63,64,0,0,0,0,24,10.7,1.8,1.2,0,0.3,0
31,Passaic,3970,Passaic City School District,13197,86,0.7,521,3.9,12338,93.5,215,1.6,8,0.1,14,0.1,15,0.1,0,1132,0,788,805,830,819,869,862,1007,1047,1014,904,866,861,841,552,99,0,23.7,0,0,0.6
31,Passaic,3975,Northern Region Educational Services Commission,56,3,5.4,5,8.9,48,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,41,3,92.9,1.8,1.8,0,0,1.8
31,Passaic,3980,Passaic County Manchester Regional High School District,802,112,14,128,16,532,66.3,23,2.9,0,0,3,0.4,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,205,188,184,200,25,46.3,5.2,6.7,0,0,1.7
31,Passaic,3990,Passaic Valley Regional High School District #1,1035,594.5,57.4,25,2.4,347.5,33.6,40,3.9,4,0.4,4,0.4,20,1.9,0,0,0,0,0,0,0,0,0,0,0,0,237,197,253,311,37,25.1,4.6,1.8,0,0,0
31,Passaic,3995,Passaic County Vocational School District,4221,859,20.4,370,8.8,2472,58.6,430,10.2,5,0.1,2,0,83,2,0,0,0,0,0,0,0,0,0,0,0,0,1142,1099,1076,821,83,45.1,8.7,0.7,0,0.5,0
31,Passaic,4010,Paterson Public School District,25657,1361,5.3,5283,20.6,17455,68,1549,6,0,0,9,0,0,0,0,2891,0,1558,1849,1675,1718,1659,1744,1790,1783,1790,1363,1357,1353,1431,1696,60.5,1.3,21.6,0,0,0.8
31,Passaic,4230,Pompton Lakes School District,1746,1082,62,49,2.8,493,28.2,106,6.1,4,0.2,12,0.7,0,0,0,1,0,97,90,105,108,120,111,129,122,119,178,133,189,165,79,15.1,3.5,3.2,0.1,0.5,0.2
31,Passaic,4270,Prospect Park Public School District,816,72,8.8,118,14.5,583,71.4,34,4.2,0,0,1,0.1,8,1,24,37,0,57,87,73,74,76,98,86,100,85,0,0,0,0,19,52,6.5,4.4,0,0.2,0.5
31,Passaic,4400,Ringwood School District,1048,865,82.5,13,1.2,107,10.2,14,1.3,12,1.1,6,0.6,31,3,0,0,0,86,95,110,98,117,122,124,138,118,0,0,0,0,40,6.3,1.6,0.8,0.2,0.5,0.1
31,Passaic,5200,Totowa Public School District,907,502,55.3,38,4.2,287,31.6,79,8.7,1,0.1,0,0,0,0,6,36,0,88,80,73,84,92,106,86,112,119,0,0,0,0,25,18.2,3.9,0.9,0,0,0
31,Passaic,5440,Wanaque School District,864,559,64.7,39,4.5,212,24.5,39,4.5,2,0.2,1,0.1,12,1.4,17,0,0,82,85,81,74,95,77,107,88,107,0,0,0,0,51,17.2,3,2.5,0,0.8,0.8
31,Passaic,5570,Wayne Township Public School District,7551,5304,70.2,133,1.8,1051,13.9,837,11.1,12,0.2,5,0.1,209,2.8,125,0,341,0,486,505,525,516,575,590,595,656,572,571,601,646,247,5.3,0.6,2.5,0,0.7,0.2
31,Passaic,5650,West Milford Township Public School District,2968,2534,85.4,39,1.3,297,10,40,1.3,11,0.4,1,0,46,1.5,22,0,0,170,174,197,188,216,217,233,257,245,219,231,231,235,133,11.7,3.5,0.7,0,0.8,0.3
31,Passaic,5690,Woodland Park School District,1182,601,50.8,47,4,460,38.9,49,4.1,0,0,0,0,25,2.1,0,99,0,112,122,116,102,108,100,112,112,129,0,0,0,0,70,23.6,1.6,4.6,0,1,0
